,NameSpe,Price,OldP,Discount,RatNo,oldP
38,"Tecno Camon 15, 4GB/64GB-48MP-5000mAh-4G-(Dual Sim)-purple+ Free Gifts","KSh 16,499","KSh 26,000",37%,4.7 out of 5(11),
39,"Infinix Smart 4, 16GB + 1GB RAM, 6.6"", (Two SIM), Purple+ Gift ,Cover","KSh 9,897","KSh 14,975",34%,4.1 out of 5(15),
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,"Oppo A1K 6.1"", 32GB + 2GB RAM, 8MP+5MP Camera, (Dual SIM) - Red","KSh 10,999","KSh 12,999",15%,4.3 out of 5(40),
49,"Infinix HOT 9 PLAY, 6.82', 32+2, 6000mAh, 4G,Smart Power  Dual Sim, Android 10 - Violet","KSh 12,299","KSh 15,000",18%,4.3 out of 5(9),
50,"Nokia C2, 5.7"", Android 9 Pie, 1GB + 16GB (Dual SIM) - Charcoal Black","KSh 7,499","KSh 10,000",25%,4.3 out of 5(36),
51,"Tecno Camon 15 Air,6.6"", 64GB+3GB (Dual SIM), 48MP -Blue+Free SELFIESTICK&OTG& GIFTBAG","KSh 14,999","KSh 23,699",37%,4.1 out of 5(21),
52,Tecno T402 - 3 SIM cards - --Wireless FM Radio - Black,"KSh 1,450","KSh 1,655",12%,4.5 out of 5(99),
53,"Infinix NOTE 7, 6.95"",  128GB + 6GB (Dual SIM), 5000mAh, Black ","KSh 20,699","KSh 22,999",10%,4.5 out of 5(39),
54,"Tecno F1, 5.0"", 8 GB +1 GB, (Dual SIM) - Black","KSh 5,095","KSh 9,999",49%,4.3 out of 5(7),
55,"Tecno Spark 4, 6.52"", 32GB + 2GB (Dual SIM), 4G, Vacation Blue","KSh 10,880","KSh 19,999",46%,4.1 out of 5(60),
56,"Tecno Camon 12 Pro - 6.4"",64GB+6GB,Dual SIM - Blue+ FREE 5D SCREEN PROTECTOR","KSh 16,880","KSh 20,000",16%,4.1 out of 5(35),
57,"Kxd A1, 5.7inch, 1GB+ 16GB, 8MP+0.3MP+5MP Selfie,Android 8.1, Dual Sim.","KSh 5,240","KSh 7,500",30%,4.5 out of 5(11),
58,"Tecno Spark 5 Pro,6.6"",64GB+3GB RAM,Dual SIM,5000 MAh,Blue + FREE WATCH & BT EARPHONES","KSh 13,900","KSh 20,500",32%,,
59,"Infinix Note 7 Lite - 6.6"" - 4GB RAM+64GB (Dual SIM)_Green","KSh 15,399","KSh 21,999",30%,4.7 out of 5(21),
60,"XIAOMI Redmi Note 9 6.53"" FHD+ 48MP 3GB 64GB 4G LTE Smartphone - Green","KSh 16,999","KSh 17,499",3%,4.2 out of 5(22),
61,"Infinix Smart 5, 6.6"",2GB+32GB,8MP,3G Dual Sim,5000MAh-Ocean Wave + FREE GIFTS","KSh 10,298","KSh 13,500",24%,5 out of 5(1),
62,"Safaricom Neon Ray,  5’',1 GB  + 8 GB, (Single SIM) - Black + FREE Protective Cover","KSh 3,800","KSh 4,999",24%,4.3 out of 5(243),
63,"Huawei Y6s, 6.09"" - 3GB/64GB, 3020 MAh, 4G, Dual Sim - Orchid Blue + Free Back Cover","KSh 13,199","KSh 16,999",22%,4.6 out of 5(14),
64,Oukitel C16 Pro 5.71 Inch Black (Dual SIM) 3 + 32G MTK6761 2.0GHZ Quad-core,"KSh 7,499","KSh 11,599",35%,4.2 out of 5(111),
65,"Itel A33 - 5"" 16GB+1GB, Fingerprint, Face Unlock, Dual Sim + Free SELFIE + RING","KSh 5,334","KSh 5,349",1%,4.3 out of 5(3),
66,"XIAOMI Redmi 9 6.53"" 4GB+64GB (Dual SIM) 4G LTE - Green","KSh 14,699","KSh 14,999",2%,4.7 out of 5(51),
67,"Ulefone Note 9P, 6.52"", 4 GB + 64 GB (Dual SIM) - Midnight Green","KSh 11,499","KSh 11,999",4%,4.2 out of 5(14),
68,"Tecno Pop 2 Plus 6"",16 GB+ 1GB, (Dual Sim)  - GOLD + FREE COVER & 5D SCREEN PROTECTOR.","KSh 7,794","KSh 10,000",22%,4.6 out of 5(5),
