,NameSpe,Price,OldP,Discount,RatNo,oldP
197,"Tecno Pouvoir 3 Air (LC6) - 6.0"" -4G,16GB+1GB- Black + Free OTG ","KSh 8,333","KSh 8,600",3%,4.3 out of 5(12),
198,"Oukitel C19 （black） 6.49 ""2 + 16g Mtk6737 1.3GHz Quad Core","KSh 7,150","KSh 12,499",43%,3.8 out of 5(4),
199,"Huawei Y6s, 6.09""-3GB/64GB,3020 MAh, Dual -Starry Black+FREE Selfie Stick + Cover + OTG","KSh 13,299","KSh 15,000",11%,4.5 out of 5(24),
200,"Safaricom Neon Ray LTE, 1GB _ 8GB, 4G - Black + FREE Protective Cover","KSh 3,600","KSh 4,999",28%,4.5 out of 5(32),
201,"Tecno Camon 15 Air , 6.6"", 64GB + 3GB (Dual SIM), 48M AI Quad Camera - Malachite Blue","KSh 14,200","KSh 15,500",8%,5 out of 5(11),
202,"Tecno F1, 5.0"", 8GB +1GB RAM (Dual SIM), 5MP Camera, Black + FREE Watch","KSh 5,400","KSh 7,000",23%,4.6 out of 5(5),
203,"XIAOMI Redmi Note 9 6.53"" FHD+ 48MP 3GB 64GB 4G LTE Smartphone - White","KSh 16,999","KSh 17,499",3%,4.3 out of 5(26),
204,"Infinix Note 8, 6.95"", 128GB + 6GB (Dual SIM),Silver Diamond + FREE BLUETOOTH HEADPHONES","KSh 23,500","KSh 34,800",32%,,
205,Bontel Little Lover L2 Touch Keypad -Gold,"KSh 2,930","KSh 5,670",48%,,
206,Samsung Keystone 2 Dual SIM 1.52 Inch 800mAh GSM Cell Phone,"KSh 2,000","KSh 2,500",20%,,
207,Blackview A60 Smartphone 1GB+16GB(Black)4080mAh 19:9 6.1 Inch Dual Camera,"KSh 6,520","KSh 8,999",28%,4.8 out of 5(5),
208,"Infinix S5 Pro, 6.53"", 64GB + 4GB, 4G, 4000mAh,Forest Green Plus Free BT Earphones & OTG","KSh 16,999","KSh 17,999",6%,5 out of 5(1),
209,Itel It 2160 - Dual SIM - Dark Blue PLUS FREE EARPHONES,KSh 990,"KSh 1,500",34%,4.2 out of 5(10),
210,"X Tigi V30 Max- 6.0""- 4G LTE- 32GB+3GB- 4000mah - Dual SIM- Green","KSh 8,499","KSh 9,999",15%,4.7 out of 5(10),
211,"Samsung Galaxy A11, 6.4"", 2GB+32GB, 13MP - Dual Sim, 4000MAh- Black + Free Gifts","KSh 13,699","KSh 15,000",9%,,
212,"Huawei Y6p,6.3"",64GB+3GB(Dual Sim), 5000 MAh Phantom Purple + FREE SELFIE STICK & RING","KSh 14,799","KSh 19,000",22%,4.5 out of 5(6),
213,"Samsung Galaxy A01, 5.7-inch, 16GB + 2GB RAM (Dual SIM), 13MP + 2MP Dual Camera, Black","KSh 10,798","KSh 20,000",46%,4.5 out of 5(17),
214,"Infinix Smart 5, 6.6'' - 2GB+32GB, 8MP,5000mAh-Midnight Black + FREE Selfie Stick & Ring","KSh 10,299","KSh 15,000",31%,4 out of 5(4),
215,"XIAOMI Redmi 9 6.53"" 4GB+64GB (Dual SIM) 4G LTE - Grey","KSh 14,999",,,4.7 out of 5(66),
216,"Samsung Galaxy M31s, 6.5"", 128GB + 8GB RAM (Dual SIM), 6000mAh, Black","KSh 28,699","KSh 40,000",28%,,
217,"Oppo A31-6.5""4GB RAM+64GB (Dual SIM), 8MP Front AI Beautification- Black","KSh 17,999","KSh 25,000",28%,,
218,"XIAOMI Redmi 9A 6.53"" 2GB + 32GB ( Dual Sim) 4G LTE - Sky Blue","KSh 10,499","KSh 15,000",30%,4.6 out of 5(24),
219,Tecno T301 - Dual SIM - Camera and Torch Light - 1150mAh - Gold,"KSh 1,399","KSh 2,500",44%,4.2 out of 5(27),
220,Apple IPhone 5 - 16GB ROM +1GB RAM -8 MP- 4inch-Apple Smartphones,"KSh 5,250","KSh 8,000",34%,5 out of 5(1),
221,"Infinix NOTE 7 Lite, 6.6""-4GB/64GB-48MP-(Dual SIM)-5000Mah-Space Grey+FREE 32GBFLASH+OTG","KSh 15,999","KSh 24,900",36%,4.7 out of 5(3),
222,"Infinix NOTE 7 Lite - 6.6"",4GB+64GB (Dual SIM),Grey +FREE Screen Protector&Selfie Stick","KSh 15,599","KSh 22,999",32%,4 out of 5(5),
223,"Tecno POP 2 Plus, 16GB+1GB, (Dual Sim) 5000 MAh - Black + FREE Watch","KSh 7,599","KSh 9,999",24%,4.2 out of 5(22),
224,"Infinix Hot 9 (X655-V), 6.6"", 32GB + 2GB RAM (Dual SIM) 5000mAh, Quetzal Cyan","KSh 12,399","KSh 15,999",23%,5 out of 5(2),
225,X Tigi S23 Mini - Torch - Speaker - Black,"KSh 1,277","KSh 2,000",36%,4.2 out of 5(19),
226,"Ulefone Armor X3, 5.5"", 2 GB + 32 GB, Dual SIM, 5000mAh - Black","KSh 8,999","KSh 9,499",5%,4.4 out of 5(60),
227,"Safaricom Neon Ray LTE,5""Display 1GBRam + 8GBRom - Black + Free Watch","KSh 4,000","KSh 4,600",13%,4.5 out of 5(4),
228,"Huawei Y6s, 6.09"" - 3GB/64GB, 3020 MAh, 4G, Dual Sim - Starry Black","KSh 12,499","KSh 18,000",31%,5 out of 5(1),
229,"Realme C3, 6.5'', 3GB + 64GB (Dual SIM) - 5000mah - Blue + Free Gift Bag","KSh 13,999","KSh 15,999",13%,,
230,"Tecno POP 3, 5.7Full View Screen"", 1GB + 16GB, 3500mAh, (Dual Sim) - Black","KSh 6,999","KSh 8,000",13%,3.8 out of 5(4),
231,"Tecno Spark 4, 6.52"", 32GB + 2GB RAM - (Dual SIM) 4G -Vacation Blue","KSh 10,785","KSh 13,000",17%,5 out of 5(1),
232,,,,,,
233,,,,,,
234,,,,,,
235,,,,,,
236,,,,,,
237,,,,,,
238,,,,,,
239,,,,,,
240,"Itel 5081-2.40""Display, Triple Sim, Opera Mini , - Blue","KSh 1,250","KSh 1,599",22%,4 out of 5(1),
241,"Cubot P40, 6.2 Inch, 4GB + 128GB, (Dual SIM) Quad Camera Android 10 20MP Selfie- Blue","KSh 13,090","KSh 13,750",5%,,
242,"Infinix Smart 5, 6.6"",2GB+32GB,;8MP,4G Dual Sim,5000MAh-Ocean Wave+FREE Selfiestick+OTG","KSh 10,599","KSh 15,000",29%,,
243,"Tecno Pop 3 16GB+1GB RAM- 5.7""-3500mAh-Dual SIM-Black + 3D PROTECTOR & PHONE COVER","KSh 7,399","KSh 10,800",31%,5 out of 5(1),
244,"Tecno Camon 16 Pro,6.8'', 6GB +128GB, (Dual SIM) - Ice Crystal Blue","KSh 20,650","KSh 30,990",33%,,
245,"Nokia 5.1 Plus, 5.9"", 32GB + 3GB RAM (Dual SIM), 3060mAh,  White","KSh 13,498","KSh 20,000",33%,4.8 out of 5(10),
246,"Realme C11, 6.5'', 2GB + 32GB (Dual SIM) - 5000mah - Mint Green +Free Gift Bag","KSh 9,999",,,5 out of 5(3),
247,"Tecno Spark 4, 6.52"", 32GB + 2GB (Dual SIM), 4G, Royal Purple","KSh 10,840","KSh 17,000",36%,4.5 out of 5(44),
248,"Oppo A1K, 6.1"", 32GB+2GB, Dual SIM - Red +FREE SELFIE STICK+RING+OTG CABLE","KSh 11,299","KSh 18,000",37%,,
249,"Nokia C1-5.45""_1GB/16GB_DUALSIM_2500MaH_5MP_Charcoal+FREE GIFTS","KSh 6,998","KSh 10,000",30%,4 out of 5(9),
250,"XIAOMI Redmi 9  6.53"" 4GB + 64GB (Dual SIM) 4G LTE - Grey","KSh 15,588","KSh 21,999",29%,4.3 out of 5(3),
251,"Nokia 5.1 Plus, 5.8"", 32GB + 3GB RAM, Android, (Dual SIM), Blue","KSh 13,499","KSh 15,000",10%,4.8 out of 5(4),
252,"XIAOMI Redmi Note 8 Pro - 6.53"" (6GB, 128GB)  - Forest Green","KSh 24,999",,,4.3 out of 5(20),
253,"Wiko Tommy 3 Plus, 5.45"", 16GB + 2GB (Dual SIM), 2900mAh, Gold","KSh 6,899","KSh 6,999",1%,4.4 out of 5(8),
254,"Gionee M6 Mini, 5.45"", 1 GB + 16 GB (Dual SIM) - Blue","KSh 4,999","KSh 6,999",29%,4.1 out of 5(226),
255,"Safaricom Neon Ray, 5’',1 GB + 8 GB, (Single SIM) - Black + FREE BACK COVER","KSh 3,546","KSh 5,000",29%,,
256,"Tecno SparK 5 Pro,6.6'',3GB+64GB,5000mAh,4G Ice Jadeite+FREE Selfie,Cover,OTG &Ring","KSh 13,999","KSh 19,999",30%,,
257,"Tecno Pop 2 Plus 6"",16gb+ 1gb,  - Midnight Black 5000mAh","KSh 7,499","KSh 9,999",25%,4.7 out of 5(13),
258,"Tecno Spark5 Pro,6.6"",64GB+3GB(Dual SIM),5000MAh,Ice Jadeite+FREE WATCH&BT EARPHONES","KSh 13,490","KSh 16,999",21%,,
259,"Samsung Galaxy A21s,4GB RAM+64GB,6.5"",Dual SIM+FREE BACK COVER+5D SCREEN PROTECTOR,Blue","KSh 19,999","KSh 39,000",49%,5 out of 5(2),
260,"Oppo A93, 6.4"", 128 GB + 8 GB (Dual SIM), 4000 MAh - Black.","KSh 29,899",,,,
261,"Samsung Galaxy A31 - 6.4"" - 128GB + 4GB - Dual SIM - Prism Crush White","KSh 23,060","KSh 31,000",26%,4.5 out of 5(2),
262,"Ulefone Note 9P, 6.52"", 4 GB + 64 GB (Dual SIM) - Black","KSh 11,499","KSh 11,999",4%,4.2 out of 5(9),
263,"Infinix Hot 8 Lite, 6.6"", 2 GB RAM + 32 GB (Dual SIM) - Cosmic Purple","KSh 12,222","KSh 19,999",39%,4.2 out of 5(44),
264,"Huawei Y6p  6.3"", 3GB+64GB,Dual, 5000MAh, Black+Free HEADSET, RING, COVER, GITBAG & OTG","KSh 16,599","KSh 21,999",25%,,
265,"Wiko Sunny 4, 5"", 16GB + 1GB RAM (Dual SIM), 2200mAh, Dark Grey","KSh 4,999","KSh 7,499",33%,4.8 out of 5(4),
266,Nokia 5310 XpressMusic 2.1 Inch 2GSM Slim Bluetooth Camera MP3 Player Mobile Phone,"KSh 2,800","KSh 4,500",38%,,
267,"Nokia 106 - Dual Sim - .1.8"" Display - 4MB RAM - Grey","KSh 1,899","KSh 2,000",5%,4.1 out of 5(14),
268,"Ray,5""Display 1GBRam + 8GBRom, - Black","KSh 3,799","KSh 4,999",24%,,
269,"Tecno  Camon 15 Air-Octa-Core Processor 6.6"" Inch - 3GB RAM - 64GB ROM , 4G - Grey","KSh 13,999","KSh 18,000",22%,,
270,"Tecno POP 3, 5.7"", 1GB + 16GB, 3500mAh, Dual Sim,Black Plus Free Backcover+SelfieStick","KSh 7,190","KSh 9,999",28%,4.3 out of 5(6),
271,"Infinix HOT 9 PLAY, 2GB+32GB -6000mAh- (Dual Sim) Cyan +FREE  Protector & Selfie Stick","KSh 12,999","KSh 20,000",35%,4.4 out of 5(7),
272,Apple IPhone 6 Plus 5.5'' 128GB IOS 4G Smartphone With Fingerprint (Authorized Resell）- Gold,"KSh 24,900","KSh 90,000",72%,,
273,"Huawei Y8p, 6.3"" OLED, 128GB+6GB-(Dual SIM)-Breathing Crystal+FREE GIFTS","KSh 24,299","KSh 35,999",33%,4.8 out of 5(4),
274,"Tecno T301; Dual Sim,With Memcard Slot And Expandable Mem Upto 32GB-BLACK","KSh 1,370","KSh 1,699",19%,4 out of 5(8),
275,"Huawei Y5 Prime 2019, 32GB + 2GB (Dual SIM), Black + FREE OTG & Selfie stick","KSh 10,999","KSh 15,000",27%,4.6 out of 5(5),
276,"Tecno Camon 15, 6.6"" - 4GB+64GB - 48MP Camera,Dual SIM- 4G- 5000mah- Shoal Gold","KSh 15,398","KSh 27,000",43%,4.8 out of 5(4),
277,"Infinix NOTE 7 Lite, 6.6""-4GB/64GB-48MP-(Dual SIM)-5000Mah-Space Grey+FREE Gifts","KSh 15,999","KSh 24,900",36%,3 out of 5(2),
278,"Safaricom Neon Ray LTE, 5"" (8GB + 1GB) 4G - BLACK + FREE Cover + Selfie Stick + Phone Ring","KSh 4,599","KSh 5,000",8%,4.6 out of 5(5),
279,"Infinix Smart 5, 6.6"", 32GB + 2GB RAM (Dual SIM), 3G, 5000MAh, Midnight Black","KSh 9,950","KSh 15,000",34%,4.3 out of 5(3),
280,,,,,,
281,,,,,,
282,,,,,,
283,,,,,,
284,,,,,,
285,,,,,,
286,,,,,,
287,,,,,,
